Polyglot,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUSTOM_4_COLOR_SCHEME,,Custom 4,Personnalisé 4,Personalizado 4,Spezial 4,,,,,,,,,,,,,カスタム4,,,사용자 지정 4,,,,,,,,
CUSTOM_5_COLOR_SCHEME,,Custom 5,Personnalisé 5,Personalizado 5,Spezial 5,,,,,,,,,,,,,カスタム5,,,사용자 지정 5,,,,,,,,
CUSTOM_6_COLOR_SCHEME,,Custom 6,Personnalisé 6,Personalizado 6,Spezial 6,,,,,,,,,,,,,カスタム6,,,사용자 지정 6,,,,,,,,
CUSTOM_7_COLOR_SCHEME,,Custom 7,Personnalisé 7,Personalizado 7,Spezial 7,,,,,,,,,,,,,カスタム7,,,사용자 지정 7,,,,,,,,
CUSTOM_8_COLOR_SCHEME,,Custom 8,Personnalisé 8,Personalizado 8,Spezial 8,,,,,,,,,,,,,カスタム8,,,사용자 지정 8,,,,,,,,
CUSTOM_9_COLOR_SCHEME,,Custom 9,Personnalisé 9,Personalizado 9,Spezial 9,,,,,,,,,,,,,カスタム9,,,사용자 지정 9,,,,,,,,
CUSTOM_10_COLOR_SCHEME,,Custom 10,Personnalisé 10,Personalizado 10,Spezial 10,,,,,,,,,,,,,カスタム10,,,사용자 지정 10,,,,,,,,
CUSTOM_11_COLOR_SCHEME,,Custom 11,Personnalisé 11,Personalizado 11,Spezial 11,,,,,,,,,,,,,カスタム11,,,사용자 지정 11,,,,,,,,
CUSTOM_12_COLOR_SCHEME,,Custom 12,Personnalisé 12,Personalizado 12,Spezial 12,,,,,,,,,,,,,カスタム12,,,사용자 지정 12,,,,,,,,
CUSTOM_13_COLOR_SCHEME,,Custom 13,Personnalisé 13,Personalizado 13,Spezial 13,,,,,,,,,,,,,カスタム13,,,사용자 지정 13,,,,,,,,
CUSTOM_14_COLOR_SCHEME,,Custom 14,Personnalisé 14,Personalizado 14,Spezial 14,,,,,,,,,,,,,カスタム14,,,사용자 지정 14,,,,,,,,
CUSTOM_15_COLOR_SCHEME,,Custom 15,Personnalisé 15,Personalizado 15,Spezial 15,,,,,,,,,,,,,カスタム15,,,사용자 지정 15,,,,,,,,
CUSTOM_16_COLOR_SCHEME,,Custom 16,Personnalisé 16,Personalizado 16,Spezial 16,,,,,,,,,,,,,カスタム16,,,사용자 지정 16,,,,,,,,
CUSTOM_17_COLOR_SCHEME,,Custom 17,Personnalisé 17,Personalizado 17,Spezial 17,,,,,,,,,,,,,カスタム17,,,사용자 지정 17,,,,,,,,
CUSTOM_18_COLOR_SCHEME,,Custom 18,Personnalisé 18,Personalizado 18,Spezial 18,,,,,,,,,,,,,カスタム18,,,사용자 지정 18,,,,,,,,
CUSTOM_19_COLOR_SCHEME,,Custom 19,Personnalisé 19,Personalizado 19,Spezial 19,,,,,,,,,,,,,カスタム19,,,사용자 지정 19,,,,,,,,